前台會員系統 (MOBILE APP),,,,,
NO,Category,Work/Screen,Brief Description,Note,
1,,登入,"- 使用手機號碼登入系統
- 輸入驗證碼驗證",,
2,,註冊,"- 選擇會員類型 (個人/公益商家/商務)
- 填寫手機號碼 + 驗證碼
- 設定密碼
- 填寫個人資料
- 電子簽名
- 同意隱私政策",電子簽名功能需整合,帳號註冊條件不明確
3,,忘記密碼,"- 允許用戶重設密碼
- 重新輸入手機號發送驗證碼",,
4,,登出,- 允許用戶登出已登入的帳號,,
5,,刪除帳號,- 允許用戶刪除已註冊的帳號,,
2,首頁,,,,
,,首頁主畫面,"- 顯示會員資訊卡 (名稱、類型、分會、編號、年資、會期)
- 顯示愛心點數、獎勵點數
- 九宮格功能入口",主視覺設計,
,,廣告輪播圖,"- 首頁顯示輪播廣告
- 點擊可查看詳情",,
,,小喇叭公告,"- 顯示系統公告訊息
- 跑馬燈形式呈現",,
3,認識商脈,,,,
,,認識商脈頁面,"- 顯示公司介紹與願景
- 富文本內容呈現",後台 CMS 編輯,
4,公益商家,,,,"此資料來自商務會員的店舖資料
並不是後台的公益商家資料"
,,商家列表,"- 顯示公益商家列表
- 分類篩選 (食/衣/住/行/育樂/大健康/其他)
- 搜尋功能",,
,,商家詳情,"- 顯示商家圖片、名稱、標語
- 聯絡電話、地址
- 營業時間、優惠政策",,
,,地圖定位,"- 顯示商家位置地圖
- 可導航至商家",整合地圖 SDK,
5,會員專區,,,,
,,會員專區主頁,"- 顯示統計數據 (交流次數、轉介紹次數、介紹入會次數等)
- 功能入口 (會員搜索、轉介紹、活動參與等)",,
,,會員搜索,"- 搜尋會員
- 顯示會員列表
- 查看會員資料",,
,,轉介紹,"- 生成推薦連結/QRCode
- 分享功能
- 查看推薦記錄",,"內部會員分享介紹, 但分享又有出現非平台會員/平台會員選項"
,,會員交流,"- 發起會員交流
- 交流記錄列表
- 交流詳情",,聊天系統
,,我的榮譽,"- 顯示會員榮譽徽章
- 榮譽成就記錄",,
,,邀約來賓,"- 新增邀約來賓
- 來賓記錄列表",,
,新增,會員當周排行榜,"- 邀請最多來賓
- 引薦金額最多",,
6,最新活動,,,,
,,活動列表,"- 顯示活動列表
- 活動分類篩選
- 搜尋功能",,
,,活動詳情,"- 顯示活動封面、標題、講師
- 活動時間、地點
- 活動介紹 (富文本)",,
,,活動報名,"- 報名參加活動
- 消耗積分
- 報名確認",,
7,點數系統,,,,
,,點數記錄,"- 顯示點數變動明細
- 篩選時間範圍
- 點數獲取/使用記錄",,
,,QRCode 收款,"- 生成商家收款 QRCode
- 設定收款金額
- 收款記錄",,商家收款是收什麼款項?
,,掃碼付款,"- 掃描商家 QRCode
- 確認付款金額
- 點數扣款",,
,,加點充值,"- 顯示充值方案
- 選擇充值金額
- 金流付款",整合金流服務,
8,捐贈公益,,,,
,,捐贈列表,"- 顯示公益項目列表
- 項目進度顯示",,
,,捐贈執行,"- 選擇捐贈點數
- 確認捐贈
- 捐贈記錄",,
9,商家兌換,,,,
,,兌換列表,"- 顯示可兌換禮券
- 兌換規則說明",,
,,兌換執行,"- 選擇兌換數量
- 確認兌換 (1000點=1000元)
- 兌換記錄",,
10,抽抽樂,,,,
,,抽獎主頁,"- 九宮格抽獎介面
- 顯示抽獎次數
- 獎品說明",動畫效果設計,
,,抽獎結果,"- 抽獎動畫效果
- 顯示中獎結果
- 獎品：積分、點數、謝謝參與",,
11,消息系統,,,,
,,消息列表,"- 顯示對話列表
- 未讀訊息標記
- 最後訊息預覽",,
,,聊天室,"- 即時通訊對話
- 發送文字/圖片
- 訊息保存三天",,
,,系統通知,"- 系統推播通知
- 通知列表
- 點擊跳轉",,
12,個人中心,,,,
,,個人中心主頁,"- 顯示用戶頭像、名稱
- 功能選單入口
- 會員資訊概覽",,
,,個人資料編輯,"- 編輯個人資料
- 上傳頭像
- 修改聯絡資訊",,
,,我的店鋪,"- 編輯店鋪資訊
- 上傳店鋪圖片
- 設定營業資訊",僅商家會員,
,,介紹人明細,"- 顯示推薦下線列表
- 推薦獎勵記錄",,
,,會員續費,"- 顯示會期狀態
- 續費方案選擇
- 金流付款",整合金流服務,
,,修改密碼,"- 驗證舊密碼
- 設定新密碼",,
,,,前台小計 (person-days),,
